owner_id,owner_login,owner_name,owner_url,homepage_url,owner_description,owner_logo,quarter_start,quarter_end,github_stars_start,github_stars_end,github_stars_growth_rate,github_stars_growth_percentile,github_stars_final_weight,github_contributors_start,github_contributors_end,github_contributors_growth_rate,github_contributors_growth_percentile,github_contributors_final_weight,package_downloads_start,package_downloads_end,package_downloads_growth_rate,package_downloads_growth_percentile,package_downloads_final_weight
O_kgDODASUqQ,ai-dynamo,Dynamo,https://github.com/ai-dynamo,https://developer.nvidia.com/dynamo,,https://avatars.githubusercontent.com/u/201626793?v=4,2026-01-01,2026-04-01,6823.0,7718.0,0.1311739703942547,94.17539267015708,1.0,275.0,362.0,0.3163636363636363,97.25519287833828,1.0,1114181.0,3457587.0,2.103254318643021,98.79799067097235,1.0
O_kgDOCP5DbA,OrionStarAI,OrionStarAI,https://github.com/OrionStarAI,https://www.orionstar.com/,A globally leading AI service robot research and development company.,https://avatars.githubusercontent.com/u/150881132?v=4,2026-01-01,2026-04-01,1124.0,2044.0,0.8185053380782918,99.3455497382199,1.0,11.0,13.0,0.1818181818181818,93.49830436625687,1.0,7463.0,20526.0,1.0526,96.9860064585576,1.0
O_kgDODZdSyg,gemini-cli-extensions,Gemini CLI Extensions,https://github.com/gemini-cli-extensions,,Google Extensions for Gemini CLI,https://avatars.githubusercontent.com/u/228020938?v=4,2026-01-01,2026-04-01,3440.0,7307.0,1.1241279069767445,99.50552646887726,1.0,44.0,68.0,0.5454545454545454,98.70178041543026,1.0,31.0,76.0,-0.9924,,
O_kgDOCVlqNQ,fjall-rs,fjall-rs,https://github.com/fjall-rs,https://fjall-rs.github.io/,Organising data in Rust,https://avatars.githubusercontent.com/u/156854837?v=4,2026-01-01,2026-04-01,1907.0,2379.0,0.2475091767173571,97.33129726585224,1.0,16.0,23.0,0.4375,98.17719372615517,1.0,626901.0,1418326.0,1.2624401620032508,97.75744528166489,1.0
O_kgDOCiUo8Q,tavily-ai,Tavily AI,https://github.com/tavily-ai,tavily.com,"Tavily Search API is a search engine optimized for LLMs and RAG, aimed at efficient, quick and persistent search results",https://avatars.githubusercontent.com/u/170207473?v=4,2026-01-01,2026-04-01,2173.0,3150.0,0.4496088357109986,98.65474112856312,1.0,19.0,28.0,0.4736842105263157,98.34675710046628,1.0,17020301.0,30148894.0,0.7713490495849633,95.44312881234302,1.0
O_kgDOD3LBpQ,screenpipe,screenpipe,https://github.com/screenpipe,https://screenpi.pe,,https://avatars.githubusercontent.com/u/259178917?v=4,2026-01-01,2026-04-01,16305.0,17888.0,0.0970867831953388,91.42670157068062,1.0,81.0,95.0,0.1728395061728395,92.95252225519287,1.0,0.0,39477.0,2.9477,99.21062073914604,1.0
MDEyOk9yZ2FuaXphdGlvbjMxNjExNzQ2,open-dingtalk,钉钉开放平台团队,https://github.com/open-dingtalk,,,https://avatars.githubusercontent.com/u/31611746?v=4,2026-01-01,2026-04-01,2805.0,2842.0,0.0131907308377896,40.40139616055846,1.0,8.0,8.0,-0.2,,,225777.0,1326252.0,4.8741678736098,99.55148905633295,1.0
O_kgDOCLHiPQ,superradcompany,Super Rad Company,https://github.com/superradcompany,https://superrad.company,Building infrastructure for secure agentic era,https://avatars.githubusercontent.com/u/145875517?v=4,2026-01-01,2026-04-01,4586.0,5538.0,0.2075883122546881,96.78592204770216,1.0,11.0,17.0,0.5454545454545454,98.70178041543026,1.0,45502.0,91448.0,1.0097578128433915,96.7886616433441,1.0
O_kgDOCG56QQ,Skyvern-AI,Skyvern,https://github.com/Skyvern-AI,https://www.skyvern.com/,Skyvern helps companies automate browser based workflows with AI,https://avatars.githubusercontent.com/u/141457985?v=4,2026-01-01,2026-04-01,19950.0,21073.0,0.0562907268170426,82.9261198371146,1.0,71.0,79.0,0.1126760563380281,86.52501059771089,1.0,82050.0,365926.0,3.4597928092626447,99.31826336562612,1.0
O_kgDODD1AEA,mobile-next,Mobile Next,https://github.com/mobile-next,https://mobilenexthq.com,"Future of Mobile Development. The platform to build, test, deploy, and manage apps across any device",https://avatars.githubusercontent.com/u/205340688?v=4,2026-01-01,2026-04-01,2919.0,4502.0,0.5423090099349093,98.87289121582316,1.0,19.0,23.0,0.2105263157894736,94.91309877066554,1.0,174243.0,402862.0,1.3120699253341597,97.86508790814496,1.0
O_kgDODcE8UQ,photon-hq,Photon,https://github.com/photon-hq,https://photon.codes,We bring agents to millions of lives.,https://avatars.githubusercontent.com/u/230767697?v=4,2026-01-01,2026-04-01,1073.0,2354.0,1.1938490214352284,99.5564281559046,1.0,6.0,9.0,-0.1,,,4892.0,21045.0,1.1045,97.23717258701112,1.0
O_kgDOCQA92g,kyutai-labs,kyutai,https://github.com/kyutai-labs,https://kyutai.org/,Kyutai - Open Science AI Lab,https://avatars.githubusercontent.com/u/151010778?v=4,2026-01-01,2026-04-01,15245.0,20308.0,0.3321088881600524,98.15299592786504,1.0,41.0,68.0,0.6585365853658537,99.02501059771087,1.0,478594.0,724676.0,0.5141769432964057,91.94474345174022,1.0
O_kgDOCKV4Gg,flashinfer-ai,FlashInfer,https://github.com/flashinfer-ai,https://flashinfer.ai/,,https://avatars.githubusercontent.com/u/145061914?v=4,2026-01-01,2026-04-01,4507.0,5640.0,0.2513867317506101,97.36765561372891,1.0,201.0,251.0,0.2487562189054726,95.78211106401018,1.0,4357763.0,12318581.0,1.8268129772087192,98.54682454251883,1.0
O_kgDOBn4fCA,oven-sh,Bun,https://github.com/oven-sh,https://bun.com/,"The company behind Bun, the incredibly fast JavaScript runtime, bundler, transpiler and package manager.",https://avatars.githubusercontent.com/u/108928776?v=4,2026-01-01,2026-04-01,4162.0,6707.0,0.6114848630466122,99.04013961605584,1.0,67.0,95.0,0.417910447761194,98.06061890631624,1.0,271647703.0,427449166.0,0.5735423538626424,93.12881234302117,1.0
O_kgDODIDp2w,ag-ui-protocol,ag-ui-protocol,https://github.com/ag-ui-protocol,,,https://avatars.githubusercontent.com/u/209775067?v=4,2026-01-01,2026-04-01,11122.0,12865.0,0.1567164179104477,95.30977312390924,1.0,61.0,85.0,0.3934426229508196,97.8698601102162,1.0,2818455.0,7017996.0,1.4900152743258277,98.15213491209184,1.0
